"rec_id","role","reflink","reference"
366,"location","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
366,"general","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
367,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
368,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
368,"general","Hedrick, 1995","Hedrick, J.B., 1995, Rare earths: U.S. Geological Survey Minerals Yearbook 1994."
368,"general","Hedrick, 1996","Hedrick, J.B., 1996, Rare earths: U.S. Geological Survy Minerals Yearbook 1995."
368,"general","O'Driscoll, 1988","O'Driscoll, Mike, 1988, Rare earths--enter the dragon: Industrial Minerals, no. 254, p. 21-55."
369,"resource","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
369,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
369,"general","Hedrick, 1995","Hedrick, J.B., 1995, Rare earths: U.S. Geological Survey Minerals Yearbook 1994."
369,"general","Hedrick, 1996","Hedrick, J.B., 1996, Rare earths: U.S. Geological Survy Minerals Yearbook 1995."
369,"general","Hedrick, 1998","Hedrick, J.B., 1998, Rare earths: U.S. Geological Survey Minerals Yearbook 1997."
369,"general","Harben and Kuzvart, 1996","Harben, P.W., and Kuzvart, M., 1996, Industrial minerals - a global geology: London, Industrial Minerals Information Ltd., p. 330-340."
369,"general","Industrial Minerals, 1999","Industrial Minerals, 1999, World of MineralsﾗBeen and gone ﾖ BHP shuts Beenup minsands: no. 379, p. 9."
370,"resource","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
370,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
370,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
370,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
370,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
370,"location","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
370,"general","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
370,"general","Towner and others, 1988","Towner, R.R., Gray, J.M., and Porter, L.M., 1988, International strategic minerals inventory summary reportﾗ Titanium: U.S. Geological Survey Circular 930-G, 58 p."
371,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
371,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
371,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
372,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
373,"location","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
373,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
373,"general","ESCAP, 1989","Economic and Social Commission for Asia and the Pacific, 1989, Sri Lanka: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 5, 45 p."
373,"general","Neary and Highley, 1984","Neary, C.R., and Highley, D.E., 1984, The economic importance of the rare earth elements, in Henderson, P., ed., Rare earth element geochemistry: New York, Elsevier, Developments in Geochemistry 2, p. 423-466."
373,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
374,"general","ESCAP, 1998","Economic and Social Commission for Asia and the Pacific, 1998, Geology and mineral resources of Kyrgyzstan: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 13, 153 p."
375,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
376,"resource","Lishmund and others, 1999","Lishmund, Steve, Paterson, Iain, and Ray, Helen, 1999, Opportunities in New South WalesﾗMinerals of Australiaﾒs oldest state reviewed: Industrial Minerals, no. 380, p. 57-69."
376,"general","Lishmund and others, 1999","Lishmund, Steve, Paterson, Iain, and Ray, Helen, 1999, Opportunities in New South WalesﾗMinerals of Australiaﾒs oldest state reviewed: Industrial Minerals, no. 380, p. 57-69."
376,"general","Pearson, 1999","Pearson, Karine, 1999, Westralian Sands: Industrial Minerals, no. 378, p. 56-59."
377,"general","Garnar, 1981","Garnar, T.E., 1981, Heavy minerals industry of North America, in Proceedings of the 4th ""Industrial Minerals"" International Congress: London, Metal Bulletin Plc, p. 29-42."
377,"general","Neary and Highley, 1984","Neary, C.R., and Highley, D.E., 1984, The economic importance of the rare earth elements, in Henderson, P., ed., Rare earth element geochemistry: New York, Elsevier, Developments in Geochemistry 2, p. 423-466."
377,"general","Pirkle and others, 1974","Pirkle, E.C., Pirkle, W.A., and Yoho, W.H., 1974, The Green Cove Springs and Boulougne heavy-mineral sand deposits of Florida: Economic Geology, V. 69, no. 7, p. 1129-1137."
378,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
378,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
379,"location","Azevedo Branco, 1984","Azevedo Branco, P.C. de, 1984, Principais dep�sitos minerais: Conceitos, methodologia e listagem, in Schobbenhaus, Carlos, Campos, D. de A., Derze, G.R., Asmus, H.E., eds., Geologia do Brasil; texto explicativo do mapa geol�gico do Brasil e da �rea oce�nica adjacente incluindo dep�sitos minerais: Brazil Divis�o de Geologia e Mineralogia, p. 359-419."
379,"resource","Azevedo Branco, 1984","Azevedo Branco, P.C. de, 1984, Principais dep�sitos minerais: Conceitos, methodologia e listagem, in Schobbenhaus, Carlos, Campos, D. de A., Derze, G.R., Asmus, H.E., eds., Geologia do Brasil; texto explicativo do mapa geol�gico do Brasil e da �rea oce�nica adjacente incluindo dep�sitos minerais: Brazil Divis�o de Geologia e Mineralogia, p. 359-419."
379,"general","Azevedo Branco, 1984","Azevedo Branco, P.C. de, 1984, Principais dep�sitos minerais: Conceitos, methodologia e listagem, in Schobbenhaus, Carlos, Campos, D. de A., Derze, G.R., Asmus, H.E., eds., Geologia do Brasil; texto explicativo do mapa geol�gico do Brasil e da �rea oce�nica adjacente incluindo dep�sitos minerais: Brazil Divis�o de Geologia e Mineralogia, p. 359-419."
380,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
380,"location","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
380,"general","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
380,"general","Towner and others, 1988","Towner, R.R., Gray, J.M., and Porter, L.M., 1988, International strategic minerals inventory summary reportﾗ Titanium: U.S. Geological Survey Circular 930-G, 58 p."
381,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
382,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
382,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
382,"location","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
382,"general","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
382,"general","Towner and others, 1988","Towner, R.R., Gray, J.M., and Porter, L.M., 1988, International strategic minerals inventory summary reportﾗ Titanium: U.S. Geological Survey Circular 930-G, 58 p."
383,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
383,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
383,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
383,"general","Kendall, 1996","Kendall, Tom, 1996, BrazilﾗDancing to a new tune: Industrial Minerals, no. 350, p. 21-51."
383,"general","Hedrick, 1997","Hedrick, J.B., 1997, Rare earths: U.S. Geological Survey Minerals Yearbook 1996."
383,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
383,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
384,"general","Skillen, 1996a","Skillen, Andy, 1996a, Indonesian mineral sands: Industrial Minerals, no. 351, p. 53-55."
385,"general","Dreissen, 1990","Dreissen, A., 1990, Australiaﾒs resources of industrial minerals and an overview of its industrial minerals industry, in Griffiths, J.B., ed., 9th ﾓIndustrial Mineralsﾔ International Congress: London, Metal Bulletin plc, p. 7-18."
385,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
385,"general","Harben and Kuzvart, 1996","Harben, P.W., and Kuzvart, M., 1996, Industrial minerals - a global geology: London, Industrial Minerals Information Ltd., p. 330-340."
385,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
386,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
386,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
387,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
387,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
387,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
387,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
387,"resource","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
387,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
388,"general","Cocker, 1998","Cocker, M.D., 1998, Defining the heavy mineral potential in the Upper Coastal Plain of Georgia with the use of NURE stream sediment geochemical data and a geographical information system, in B�langer, Marc, Clark, Thomas, and Jacob, Henri-Louis, eds., Proceedings of the 33rd Forum on the Geology of Industrial Minerals: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 50, p. 131-144."
389,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
389,"general","O'Driscoll, 1988","O'Driscoll, Mike, 1988, Rare earths--enter the dragon: Industrial Minerals, no. 254, p. 21-55."
390,"location","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
390,"general","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
390,"general","O'Driscoll, 1996","O'Driscoll, Mike, 1996, Minerals of VietnamﾗSandﾒs future black and white: Industrial Minerals, no. 350, p. 73-93."
391,"location","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
391,"general","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
391,"general","O'Driscoll, 1996","O'Driscoll, Mike, 1996, Minerals of VietnamﾗSandﾒs future black and white: Industrial Minerals, no. 350, p. 73-93."
392,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
392,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
392,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
393,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
393,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
393,"general","Dreissen, 1990","Dreissen, A., 1990, Australiaﾒs resources of industrial minerals and an overview of its industrial minerals industry, in Griffiths, J.B., ed., 9th ﾓIndustrial Mineralsﾔ International Congress: London, Metal Bulletin plc, p. 7-18."
393,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
393,"general","Hedrick, 1995","Hedrick, J.B., 1995, Rare earths: U.S. Geological Survey Minerals Yearbook 1994."
393,"general","Hedrick, 1996","Hedrick, J.B., 1996, Rare earths: U.S. Geological Survy Minerals Yearbook 1995."
393,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
394,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
394,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
394,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
394,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
394,"general","Hedrick, 1999","Hedrick, J.B., 1999, Rare earths: U.S. Geological Survey Minerals Yearbook 1998."
394,"general","Griffiths, 1992","Griffiths, Joyce, 1992, Australian mineralsﾗDown under but not out: Industrial Minerals, no. 297, p. 17-35."
394,"location","Towner and others, 1988","Towner, R.R., Gray, J.M., and Porter, L.M., 1988, International strategic minerals inventory summary reportﾗ Titanium: U.S. Geological Survey Circular 930-G, 58 p."
394,"general","O'Driscoll, 1988","O'Driscoll, Mike, 1988, Rare earths--enter the dragon: Industrial Minerals, no. 254, p. 21-55."
394,"general","Towner and others, 1988","Towner, R.R., Gray, J.M., and Porter, L.M., 1988, International strategic minerals inventory summary reportﾗ Titanium: U.S. Geological Survey Circular 930-G, 58 p."
394,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
394,"general","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
395,"resource","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
395,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
395,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
395,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
395,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
395,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
395,"general","Welch and others, 1975","Welch, B.R., Sofoulis, J., Fitzgerald, A.C.F., 1975, Mineral sand deposits of the Capel area WA, in Knight, C.L., ed., Economic geology of Australia and Papua New Guinesa: Australian IMM Monograph 5, pt. 1, metals, p. 1070-1088."
396,"location","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
396,"general","ESCAP, 1990","Economic and Social Commission for Asia and the Pacific, 1990, Viet Nam: New York, United Nations, Atlas of Mineral Resources of the ESCAP Region, v. 6, 124 p."
396,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
396,"general","O'Driscoll, 1996","O'Driscoll, Mike, 1996, Minerals of VietnamﾗSandﾒs future black and white: Industrial Minerals, no. 350, p. 73-93."
397,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
397,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
397,"resource","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
397,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
397,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
398,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
399,"resource","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
399,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
399,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
399,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
399,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
399,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
399,"general","Harben and Kuzvart, 1996","Harben, P.W., and Kuzvart, M., 1996, Industrial minerals - a global geology: London, Industrial Minerals Information Ltd., p. 330-340."
399,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
399,"general","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
399,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
399,"general","Russell, 1991","Russell, Alison, 1991, Indiaﾒs industrial mineralsﾗcompleting the picture: Industrial Minerals, no. 288, p. 45-55."
400,"resource","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
400,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
400,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
400,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
400,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
400,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
400,"general","Harben and Kuzvart, 1996","Harben, P.W., and Kuzvart, M., 1996, Industrial minerals - a global geology: London, Industrial Minerals Information Ltd., p. 330-340."
400,"resource","Roskill, 1988","Roskill Information Services, 1988, The economics of rare earths & yttrium, 1994, seventh edition: London, Roskill Information Services, 359 p. + appendices."
400,"general","Overstreet, 1967","Overstreet, W.C., 1967 The geologic occurrence of monazite: U.S. Geological Survey Professional Paper 530, 327 p."
400,"general","Towner, 1992","Towner, R.R., 1992, International strategic minerals inventory summary reportﾗ Zirconium: U.S. Geological Survey Circular 930-L, 47 p."
401,"general","Anstett, 1986","Anstett, T.F., 1986, Availability of rare-earth, yttrium, and related thorium oxides - market economy countries: U.S. Bureau of Mines Information Circular 9111, 19 p."
401,"general","ESCAP and ABMRGG, 1988","Economic and Social Commission for Asia and the Pacific and Australian Bureau of Mineral Resources, Geology and Geophysics, 1988, Mineral sands in Asia and the Pacific: New York, United Nations, Mineral Concentrations and Hydrocarbon Accumulations in the ESCAP Region, v. 4, 129 p."
401,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
401,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
401,"general","Hedrick and Templeton, 1991","Hedrick, J.B., and Templeton, D.A., 1991, Rare-earth minerals and metals: U.S. Bureau of Mines Minerals Yearbook, 1989, p. 825-844."
